word,english,frequency
jag,I,4502420
det,the,4154251
är,is,3602140
du,you,3208690
att,to,2353393
inte,not,2298512
en,a,1718549
och,and,1652461
har,have,1474196
vi,we,1467948
på,on,1409546
i,in,1267736
för,for,1127397
han,he,1050573
med,with,1025699
som,as,1024489
om,If,1003714
var,where,998455
vad,What,982835
mig,me,961360
här,here,951219
dig,you,917029
så,so,866454
den,the,841780
kan,can,811884
till,to,797353
de,the,730079
men,but,644322
ett,a,592611
ska,will,590557
ni,you,589595
av,of,555980
hon,she,513821
vill,want,512894
ja,yes,476892
vet,know,475241
nu,Now,468404
nej,No,441289
bara,only,438016
hur,how,417875
min,my,411386
kommer,is coming,391428
där,where,381886
måste,must,377081
honom,him,373848
gör,do,352092
din,your,346499
skulle,would,333132
när,when,327989
då,when,318186
kom,come on,313020
ha,have,303093
bra,Good,298036
får,may,286696
man,MAN,286209
vara,be,285586
oss,us,273279
ut,out,272642
ta,take,265488
er,you,262228
göra,do,259741
okej,okay,246848
eller,or,239030
hade,had,238052
från,from,237609
varför,why,235002
dem,them,234982
alla,all,231459
tror,think,218779
sig,one,218304
allt,all,216817
henne,her,212063
upp,up,211151
sa,said,209402
ingen,No,207353
tack,thanks,205687
gå,go,202028
in,in,200764
igen,again,199233
få,get,191442
nåt,something,185493
se,see,184513
går,goes,176067
mycket,very,168573
hej,Hello,167727
vem,who,167431
kanske,perhaps,166533
lite,a little,165976
behöver,need,164076
ser,see,163271
mitt,my,162963
aldrig,Never,158759
finns,exists,154402
än,than,152151
inget,nothing,149545
efter,after,149364
blir,becomes,145389
ju,right,139856
hans,his,139199
sen,late,137324
bli,be,136674
gjorde,did,133400
två,two,132774
nån,somebody,131576
tillbaka,back,130100
tar,takes,129339
mer,more,128055
något,something,126866
över,over,125653
säger,says,121598
fick,got,117534
ditt,yours,117441
ge,give,113651
väl,well,112922
också,also,111638
mina,mine,110555
åt,at,109095
nog,enough,105984
fan,hell,104245
kunde,could,103697
år,year,103336
säga,say,102512
någon,any,101246
mamma,mother,100633
varit,been,99592
ner,down,98409
ville,wanted,96604
vänta,wait,96277
mot,against,95878
pappa,dad,95623
andra,Other,95569
borde,should,94741
känner,feel,93285
rätt,Right,91879
vid,at,90237
några,some,89862
hela,whole,89610
såg,SAW,87131
hit,here,86634
prata,talk,85587
komma,come,85007
låt,song,84509
detta,this,83598
gjort,done,83421
blev,became,82610
själv,self,82130
tog,took,81259
alltid,always,81111
vår,our,80583
utan,without,80052
fel,wrong,79194
hem,Home,79107
mr,Mr,79005
dag,day,78540
dina,yours,77774
liv,life,77503
menar,means,77080
verkligen,really,76800
visst,Certainly,74071
va,huh,72922
förstår,understand,72651
sin,its,72526
tid,time,72267
trodde,thought,72002
gick,went,71272
älskar,love,70882
sätt,way,70597
berätta,tell,70173
tänker,thinking,70017
döda,kill,69840
veta,Know,69746
tre,three,69234
många,many,68236
folk,people,68136
sluta,stop,67549
precis,just,67504
inga,no,66621
hennes,her,65883
titta,look,65706
innan,before,65366
visste,knew,64996
gillar,like,64882
barn,children,64861
bättre,better,64855
hjälpa,help,64652
under,during,64277
förlåt,Sorry,63434
gång,time,63330
bort,away,63122
hjälp,Help,62522
händer,hands,61683
just,just,61267
helt,completely,60740
säg,say,60567
tycker,thinks,60507
första,first,58369
död,death,58070
håll,hold,57613
länge,long,57584
hör,hear,57478
sett,seen,57304
ledsen,sorry,56267
snälla,please,56265
saker,things,55927
hitta,find,55159
fortfarande,still,53646
står,stands,52858
pengar,money,52745
god,good,52677
samma,same,52341
sir,Sir,52288
ens,even,52121
ursäkta,excuse,51821
heter,called,51455
håller,holding,51407
vilken,which,50765
enda,only,50593
gud,God,50211
våra,ours,49950
hand,hand,49729
borta,away,49587
mår,feel,49393
hallå,Hello,49367
hände,happened,49220
ur,from,48970
problem,problem,48487
vän,Friend,48435
ger,gives,48082
stanna,stay,48020
sak,Thing,47933
dom,judgment,47516
försöker,trying,47441
låter,sounds,47400
far,Father,47214
kvar,left,46818
väg,way,46619
annan,Other,46000
redan,already,45878
längre,longer,45839
jävla,fucking,45796
helvete,hell,45284
pratar,talking,45095
väldigt,very,45091
åh,Oh,45088
herregud,my god,44734
vart,where,44712
dit,there,44485
kväll,Evening,44106
morgon,morning,43780
fått,got,43334
snart,soon,42927
ute,out,42847
fråga,question,42799
sitt,his,42698
tiden,the time,42621
kör,drive,42387
deras,their,42311
tänkte,thought,42196
namn,name,41854
verkar,seems,41726
tro,believe,41463
jo,yes,41294
varje,each,41079
fram,forward,40992
bästa,top,40932
fru,wife,40689
först,first,40518
träffa,meet,40333
säkert,for sure,40115
slut,final,39970
sedan,then,39894
hos,in,39728
ingenting,nothing,39663
därför,therefore,39580
åka,go,39318
visa,show,39230
säker,sure,39108
lämna,leave,39049
börjar,begins,38986
vägen,the road,38972
genom,By,38948
gav,gave,38682
härifrån,from here,38522
jobb,Job,38448
hålla,keep,38066
son,son,37905
stor,great,37862
vänner,friends,37807
hittade,found,37788
annat,Other,37705
hoppas,hope,36858
sina,theirs,36731
hörde,heard,36713
vilket,which,36692
kolla,check,36672
minns,remember,36632
ihop,Together,36598
rädd,afraid,36594
sista,last,35987
även,also,35720
